,0,1,2,3,4,5
0.01,0.317,0.543,0.825,1.061,1.368,1.684
0.015,0.318,0.544,0.827,1.064,1.371,1.688
0.019999999999999997,0.319,0.545,0.829,1.067,1.375,1.693
0.024999999999999998,0.32,0.547,0.831,1.07,1.378,1.697
0.03,0.321,0.548,0.833,1.072,1.382,1.701
0.034999999999999996,0.322,0.55,0.835,1.075,1.385,1.706
0.039999999999999994,0.322,0.551,0.837,1.078,1.389,1.71
0.045,0.323,0.552,0.84,1.081,1.392,1.715
0.049999999999999996,0.324,0.554,0.842,1.084,1.396,1.719
0.05499999999999999,0.325,0.555,0.844,1.086,1.4,1.724
0.05999999999999999,0.326,0.557,0.846,1.089,1.403,1.728
0.06499999999999999,0.327,0.558,0.849,1.092,1.407,1.733
0.06999999999999999,0.328,0.56,0.851,1.095,1.411,1.737
0.07499999999999998,0.328,0.561,0.853,1.098,1.415,1.742
0.07999999999999999,0.329,0.563,0.856,1.101,1.419,1.747
0.08499999999999998,0.33,0.564,0.858,1.104,1.423,1.752
0.08999999999999998,0.331,0.566,0.86,1.107,1.426,1.756
0.09499999999999999,0.332,0.568,0.863,1.11,1.43,1.761
0.09999999999999998,0.333,0.569,0.865,1.113,1.434,1.766
0.10499999999999998,0.334,0.571,0.867,1.116,1.438,1.771
0.10999999999999997,0.335,0.572,0.87,1.119,1.442,1.776
0.11499999999999998,0.336,0.574,0.872,1.123,1.446,1.781
0.11999999999999998,0.337,0.576,0.875,1.126,1.451,1.786
0.12499999999999997,0.338,0.577,0.877,1.129,1.455,1.791
0.12999999999999998,0.339,0.579,0.88,1.132,1.459,1.796
0.13499999999999998,0.34,0.58,0.882,1.136,1.463,1.802
0.13999999999999999,0.341,0.582,0.885,1.139,1.467,1.807
0.145,0.342,0.584,0.887,1.142,1.472,1.812
0.15,0.343,0.586,0.89,1.146,1.476,1.817
0.155,0.344,0.587,0.893,1.149,1.48,1.823
0.15999999999999998,0.345,0.589,0.895,1.152,1.485,1.828
0.16499999999999998,0.346,0.591,0.898,1.156,1.489,1.834
0.16999999999999998,0.347,0.593,0.901,1.159,1.494,1.839
0.175,0.348,0.594,0.903,1.163,1.498,1.845
0.18,0.349,0.596,0.906,1.166,1.503,1.85
0.18499999999999997,0.35,0.598,0.909,1.17,1.507,1.856
0.18999999999999997,0.351,0.6,0.912,1.173,1.512,1.862
0.19499999999999998,0.352,0.602,0.915,1.177,1.517,1.868
0.19999999999999998,0.353,0.604,0.917,1.181,1.521,1.873
0.205,0.354,0.606,0.92,1.184,1.526,1.879
0.20999999999999996,0.355,0.607,0.923,1.188,1.531,1.885
0.21499999999999997,0.357,0.609,0.926,1.192,1.536,1.891
0.21999999999999997,0.358,0.611,0.929,1.196,1.541,1.897
0.22499999999999998,0.359,0.613,0.932,1.2,1.546,1.903
0.22999999999999998,0.36,0.615,0.935,1.204,1.551,1.909
0.235,0.361,0.617,0.938,1.208,1.556,1.916
0.23999999999999996,0.362,0.619,0.941,1.211,1.561,1.922
0.24499999999999997,0.364,0.621,0.944,1.215,1.566,1.928
0.24999999999999997,0.365,0.623,0.948,1.22,1.571,1.935
0.25499999999999995,0.366,0.626,0.951,1.224,1.577,1.941
0.25999999999999995,0.367,0.628,0.954,1.228,1.582,1.948
0.26499999999999996,0.369,0.63,0.957,1.232,1.587,1.954
0.26999999999999996,0.37,0.632,0.96,1.236,1.593,1.961
0.27499999999999997,0.371,0.634,0.964,1.24,1.598,1.968
0.27999999999999997,0.372,0.636,0.967,1.245,1.604,1.975
0.285,0.374,0.639,0.97,1.249,1.609,1.982
0.29,0.375,0.641,0.974,1.253,1.615,1.989
0.295,0.376,0.643,0.977,1.258,1.621,1.996
0.3,0.378,0.645,0.981,1.262,1.626,2.003
0.30499999999999994,0.379,0.648,0.984,1.267,1.632,2.01
0.30999999999999994,0.38,0.65,0.988,1.271,1.638,2.017
0.31499999999999995,0.382,0.652,0.992,1.276,1.644,2.025
0.31999999999999995,0.383,0.655,0.995,1.281,1.65,2.032
0.32499999999999996,0.385,0.657,0.999,1.286,1.656,2.039
0.32999999999999996,0.386,0.66,1.003,1.29,1.662,2.047
0.33499999999999996,0.387,0.662,1.006,1.295,1.669,2.055
0.33999999999999997,0.389,0.665,1.01,1.3,1.675,2.063
0.345,0.39,0.664,1.014,1.297,1.681,2.07
0.35,0.387,0.655,1.018,1.278,1.67,2.078
0.355,0.382,0.646,1.012,1.26,1.647,2.086
0.35999999999999993,0.377,0.637,0.998,1.243,1.624,2.07
0.36499999999999994,0.371,0.628,0.984,1.226,1.601,2.042
0.36999999999999994,0.366,0.62,0.971,1.209,1.58,2.014
0.37499999999999994,0.361,0.611,0.958,1.193,1.559,1.987
0.37999999999999995,0.357,0.603,0.945,1.177,1.538,1.961
0.38499999999999995,0.352,0.595,0.933,1.162,1.518,1.935
0.38999999999999996,0.348,0.588,0.921,1.147,1.499,1.911
0.39499999999999996,0.343,0.58,0.909,1.132,1.48,1.886
0.39999999999999997,0.339,0.573,0.898,1.118,1.461,1.863
0.40499999999999997,0.335,0.566,0.887,1.105,1.443,1.84
0.4099999999999999,0.331,0.559,0.876,1.091,1.426,1.817
0.4149999999999999,0.327,0.552,0.865,1.078,1.408,1.796
0.41999999999999993,0.323,0.546,0.855,1.065,1.392,1.774
0.42499999999999993,0.319,0.539,0.845,1.053,1.375,1.753
0.42999999999999994,0.315,0.533,0.835,1.04,1.359,1.733
0.43499999999999994,0.312,0.527,0.826,1.028,1.344,1.713
0.43999999999999995,0.308,0.521,0.816,1.017,1.328,1.693
0.44499999999999995,0.305,0.515,0.807,1.005,1.313,1.674
0.44999999999999996,0.301,0.509,0.798,0.994,1.299,1.656
0.45499999999999996,0.298,0.504,0.789,0.983,1.285,1.638
0.45999999999999996,0.295,0.498,0.781,0.972,1.271,1.62
0.4649999999999999,0.291,0.493,0.772,0.962,1.257,1.602
0.4699999999999999,0.288,0.488,0.764,0.952,1.244,1.585
0.4749999999999999,0.285,0.482,0.756,0.942,1.23,1.569
0.4799999999999999,0.282,0.477,0.748,0.932,1.218,1.552
0.48499999999999993,0.279,0.473,0.74,0.922,1.205,1.536
0.48999999999999994,0.277,0.468,0.733,0.913,1.193,1.521
0.49499999999999994,0.274,0.463,0.725,0.904,1.181,1.505
0.49999999999999994,0.271,0.458,0.718,0.895,1.169,1.49
0.5049999999999999,0.268,0.454,0.711,0.886,1.157,1.475
0.5099999999999999,0.266,0.449,0.704,0.877,1.146,1.461
0.5149999999999999,0.263,0.445,0.697,0.868,1.135,1.447
0.5199999999999999,0.261,0.441,0.691,0.86,1.124,1.433
0.5249999999999999,0.258,0.436,0.684,0.852,1.113,1.419
0.5299999999999999,0.256,0.432,0.678,0.844,1.103,1.406
0.5349999999999999,0.253,0.428,0.671,0.836,1.092,1.393
0.5399999999999999,0.251,0.424,0.665,0.828,1.082,1.38
0.5449999999999999,0.249,0.42,0.659,0.821,1.072,1.367
0.5499999999999999,0.246,0.417,0.653,0.813,1.063,1.355
0.5549999999999999,0.244,0.413,0.647,0.806,1.053,1.342
0.5599999999999999,0.242,0.409,0.641,0.799,1.044,1.33
0.565,0.24,0.406,0.636,0.792,1.034,1.319
0.57,0.238,0.402,0.63,0.785,1.025,1.307
0.575,0.236,0.398,0.624,0.778,1.016,1.296
0.58,0.234,0.395,0.619,0.771,1.008,1.285
0.585,0.232,0.392,0.614,0.765,0.999,1.274
0.59,0.23,0.388,0.609,0.758,0.991,1.263
0.595,0.228,0.385,0.603,0.752,0.982,1.252
0.5999999999999999,0.226,0.382,0.598,0.745,0.974,1.242
0.6049999999999999,0.224,0.379,0.593,0.739,0.966,1.231
0.6099999999999999,0.222,0.376,0.589,0.733,0.958,1.221
0.6149999999999999,0.22,0.373,0.584,0.727,0.95,1.211
0.6199999999999999,0.218,0.37,0.579,0.721,0.943,1.202
0.6249999999999999,0.217,0.367,0.574,0.716,0.935,1.192
0.6299999999999999,0.215,0.364,0.57,0.71,0.928,1.183
0.6349999999999999,0.213,0.361,0.565,0.704,0.92,1.173
0.6399999999999999,0.212,0.358,0.561,0.699,0.913,1.164
0.6449999999999999,0.21,0.355,0.557,0.693,0.906,1.155
0.6499999999999999,0.208,0.352,0.552,0.688,0.899,1.146
0.6549999999999999,0.207,0.35,0.548,0.683,0.892,1.137
0.6599999999999999,0.205,0.347,0.544,0.678,0.885,1.129
0.6649999999999999,0.204,0.344,0.54,0.672,0.879,1.12
0.6699999999999999,0.202,0.342,0.536,0.667,0.872,1.112
0.6749999999999999,0.201,0.339,0.532,0.663,0.866,1.104
0.6799999999999999,0.199,0.337,0.528,0.658,0.859,1.096
0.6849999999999999,0.198,0.334,0.524,0.653,0.853,1.088
0.69,0.196,0.332,0.52,0.648,0.847,1.08
0.695,0.195,0.33,0.517,0.643,0.841,1.072
0.7,0.193,0.327,0.513,0.639,0.835,1.064
0.7049999999999998,0.192,0.325,0.509,0.634,0.829,1.057
0.7099999999999999,0.191,0.323,0.506,0.63,0.823,1.049
0.7149999999999999,0.189,0.32,0.502,0.625,0.817,1.042
0.7199999999999999,0.188,0.318,0.499,0.621,0.812,1.035
0.7249999999999999,0.187,0.316,0.495,0.617,0.806,1.028
0.7299999999999999,0.185,0.314,0.492,0.613,0.8,1.021
0.7349999999999999,0.184,0.312,0.488,0.608,0.795,1.014
0.7399999999999999,0.183,0.31,0.485,0.604,0.79,1.007
0.7449999999999999,0.182,0.307,0.482,0.6,0.784,1.0
0.7499999999999999,0.18,0.305,0.479,0.596,0.779,0.993
0.7549999999999999,0.179,0.303,0.475,0.592,0.774,0.987
0.7599999999999999,0.178,0.301,0.472,0.588,0.769,0.98
0.7649999999999999,0.177,0.299,0.469,0.585,0.764,0.974
0.7699999999999999,0.176,0.297,0.466,0.581,0.759,0.967
0.7749999999999999,0.175,0.296,0.463,0.577,0.754,0.961
0.7799999999999999,0.174,0.294,0.46,0.573,0.749,0.955
0.7849999999999999,0.172,0.292,0.457,0.57,0.744,0.949
0.7899999999999999,0.171,0.29,0.454,0.566,0.74,0.943
0.7949999999999999,0.17,0.288,0.452,0.562,0.735,0.937
0.7999999999999999,0.169,0.286,0.449,0.559,0.73,0.931
0.8049999999999999,0.168,0.284,0.446,0.555,0.726,0.925
0.8099999999999998,0.167,0.283,0.443,0.552,0.721,0.92
0.8149999999999998,0.166,0.281,0.44,0.549,0.717,0.914
0.8199999999999998,0.165,0.279,0.438,0.545,0.713,0.908
0.8249999999999998,0.164,0.278,0.435,0.542,0.708,0.903
0.8299999999999998,0.163,0.276,0.432,0.539,0.704,0.898
0.8349999999999999,0.162,0.274,0.43,0.535,0.7,0.892
0.8399999999999999,0.161,0.273,0.427,0.532,0.696,0.887
0.8449999999999999,0.16,0.271,0.425,0.529,0.691,0.882
0.8499999999999999,0.159,0.269,0.422,0.526,0.687,0.876
0.8549999999999999,0.158,0.268,0.42,0.523,0.683,0.871
0.8599999999999999,0.157,0.266,0.417,0.52,0.679,0.866
0.8649999999999999,0.156,0.265,0.415,0.517,0.675,0.861
0.8699999999999999,0.156,0.263,0.413,0.514,0.672,0.856
0.8749999999999999,0.155,0.262,0.41,0.511,0.668,0.851
0.8799999999999999,0.154,0.26,0.408,0.508,0.664,0.846
0.8849999999999999,0.153,0.259,0.406,0.505,0.66,0.842
0.8899999999999999,0.152,0.257,0.403,0.502,0.656,0.837
0.8949999999999999,0.151,0.256,0.401,0.5,0.653,0.832
0.8999999999999999,0.15,0.254,0.399,0.497,0.649,0.828
0.9049999999999999,0.149,0.253,0.397,0.494,0.646,0.823
0.9099999999999999,0.149,0.252,0.394,0.491,0.642,0.819
0.9149999999999999,0.148,0.25,0.392,0.489,0.639,0.814
0.9199999999999998,0.147,0.249,0.39,0.486,0.635,0.81
0.9249999999999998,0.146,0.248,0.388,0.483,0.632,0.805
0.9299999999999998,0.145,0.246,0.386,0.481,0.628,0.801
0.9349999999999998,0.145,0.245,0.384,0.478,0.625,0.797
0.9399999999999998,0.144,0.244,0.382,0.476,0.622,0.792
0.9449999999999998,0.143,0.242,0.38,0.473,0.618,0.788
0.9499999999999998,0.142,0.241,0.378,0.471,0.615,0.784
0.9549999999999998,0.142,0.24,0.376,0.468,0.612,0.78
0.9599999999999999,0.141,0.238,0.374,0.466,0.609,0.776
0.9649999999999999,0.14,0.237,0.372,0.463,0.605,0.772
0.9699999999999999,0.139,0.236,0.37,0.461,0.602,0.768
0.9749999999999999,0.139,0.235,0.368,0.459,0.599,0.764
0.9799999999999999,0.138,0.234,0.366,0.456,0.596,0.76
0.9849999999999999,0.137,0.232,0.364,0.454,0.593,0.756
0.9899999999999999,0.137,0.231,0.362,0.452,0.59,0.752
0.9949999999999999,0.136,0.23,0.361,0.449,0.587,0.749
